uid,tid,lat,lng
0,0,40.91,114.02
0,0,36.56,147.96
0,1,36.64,66.36
0,1,40.39,103.13
1,0,39.43,115.5
1,0,42.73,124.46
1,1,40.8,105.85
1,1,30.38,123.53
1,2,33.04,96.52
1,2,36.56,125.14
1,3,43.98,164.57
1,3,31.46,82.15
1,4,23.28,134.86
1,4,40.95,98.42
1,5,46.52,80.63
1,5,36.53,116.41
1,6,28.4,123.63
1,6,36.9,81.32
2,0,32.9,77.62
2,0,23.47,121.66
2,1,21.92,86.56
2,1,38.13,104.43
2,2,30.5,100.11
2,2,38.68,100.46
2,3,22.42,155.12
2,3,38.76,92.11
3,0,34.5,86.47
3,0,44.5,119.39
3,1,34.83,85.77
3,1,25.34,72.42
3,2,35.19,113.47
3,2,24.07,147.0
3,3,26.09,80.69
3,3,36.6,89.04
4,0,34.01,88.62
4,0,26.53,108.02
4,1,34.72,120.11
4,1,24.95,146.13
4,2,41.04,77.29
4,2,25.45,118.89
4,3,37.35,75.59
4,3,24.09,86.07
4,4,41.27,90.2
4,4,24.33,101.8
4,5,39.34,104.77
4,5,38.48,74.1
5,0,39.19,99.99
5,0,22.86,147.04
5,1,25.52,67.4
5,1,39.43,94.19
5,2,46.81,93.11
5,2,32.69,115.42
5,3,40.51,153.61
5,3,41.32,84.05
5,4,30.93,134.07
5,4,39.42,116.76
5,5,22.42,74.98
5,5,39.05,99.22
5,6,44.66,86.59
5,6,32.82,111.28
5,7,22.4,73.28
5,7,25.64,102.27
6,0,39.05,84.26
6,0,47.0,129.69
6,1,38.78,83.01
6,1,21.51,98.67
6,2,33.23,78.31
6,2,47.99,133.73
6,3,33.45,68.35
6,3,34.55,121.1
6,4,33.67,87.29
6,4,22.87,66.63
6,5,32.26,84.18
6,5,27.89,95.81
6,6,41.45,94.02
6,6,51.19,101.03
6,7,40.08,106.28
6,7,24.21,132.9
6,8,31.92,82.17
6,8,26.34,106.17
6,9,38.96,97.6
6,9,26.7,105.39
6,10,39.46,82.45
6,10,28.85,99.33
6,11,32.42,111.98
6,11,34.52,95.45
7,0,37.15,87.8
7,0,34.56,105.53
8,0,40.75,95.81
8,0,29.02,81.21
8,1,39.41,113.09
8,1,30.73,152.8
9,0,37.31,82.23
9,0,26.99,125.79
9,1,37.31,69.79
9,1,49.32,72.97
9,2,38.66,99.97
9,2,30.62,115.7
9,3,39.66,74.12
9,3,24.03,110.66
9,4,32.43,103.06
9,4,48.79,19.27
9,5,44.04,-17.95
9,5,36.31,20.8
9,6,36.5,90.59
9,6,49.65,116.65
9,7,37.89,85.08
9,7,22.28,138.85
9,8,28.59,81.0
9,8,38.38,115.17
9,9,44.95,116.7
9,9,34.2,103.56
9,10,30.82,117.34
9,10,38.22,95.65
9,11,46.71,92.49
9,11,38.35,107.49
9,12,26.72,99.81
9,12,33.53,113.84
9,13,24.1,120.26
9,13,41.46,109.56
9,14,30.06,81.26
9,14,34.48,69.75
9,15,43.32,91.08
9,15,36.28,112.41
10,0,38.15,87.43
10,0,38.46,106.55
11,0,40.54,86.93
11,0,36.96,156.02
11,1,35.12,113.99
11,1,39.37,66.9
12,0,37.73,89.22
12,0,29.24,159.0
12,1,41.27,90.31
12,1,39.6,138.72
12,2,33.24,118.82
12,2,21.86,149.24
12,3,34.49,96.19
12,3,43.91,91.66
12,4,40.18,101.95
12,4,41.6,107.04
12,5,35.73,118.77
12,5,30.62,67.54
12,6,32.94,105.72
12,6,38.13,81.46
13,0,32.57,80.9
13,0,48.6,114.08
13,1,41.18,95.27
13,1,29.4,71.73
13,2,38.42,73.64
13,2,28.89,119.26
13,3,40.06,67.88
13,3,27.98,169.07
13,4,33.93,99.41
13,4,30.02,90.22
13,5,40.17,102.21
13,5,24.16,117.63
13,6,33.91,101.89
13,6,33.74,86.85
14,0,41.06,87.2
14,0,24.92,140.56
14,1,36.96,90.19
14,1,22.79,170.83
15,0,38.98,95.92
15,0,37.24,103.01
16,0,32.92,84.52
16,0,33.85,146.71
16,1,35.3,76.61
16,1,24.8,162.6
16,2,24.95,107.61
16,2,33.91,101.12
17,0,34.88,116.24
17,0,39.18,172.52
17,1,34.22,99.86
17,1,44.39,103.9
17,2,39.44,94.16
17,2,22.68,97.58
17,3,38.61,106.39
17,3,44.38,118.91
17,4,34.27,75.32
17,4,32.57,82.42
18,0,34.52,106.07
18,0,27.0,165.66
19,0,32.53,120.29
19,0,25.05,95.01
19,1,34.49,105.67
19,1,26.6,116.74
20,0,41.43,76.98
20,0,48.94,72.57
20,1,35.19,92.85
20,1,36.02,141.72
21,0,32.33,67.22
21,0,45.35,120.13
21,1,37.35,115.19
21,1,23.59,76.07
21,2,26.21,170.07
21,2,33.13,111.13
21,3,29.97,144.24
21,3,37.7,99.43
21,4,22.09,73.23
21,4,37.02,107.0
21,5,25.79,111.48
21,5,38.25,67.56
22,0,34.83,98.93
22,0,27.07,112.3
22,1,31.54,83.95
22,1,47.23,100.48
22,2,39.05,74.11
22,2,25.64,72.67
22,3,41.03,85.57
22,3,29.85,101.84
22,4,35.52,96.98
