uid,tid,lat,lng,-,Alt,dayNo,date,time,datetime
135,0,39.974294,116.399741,0,492.0,39816.0566435185,2009-01-03,01:21:34,2009-01-03 09:21:34
135,0,39.968386,116.399759,0,194.0,39816.2364699074,2009-01-03,05:40:31,2009-01-03 13:40:31
135,1,39.965813,116.396532,0,492.0,39815.1885069444,2009-01-02,04:31:27,2009-01-02 12:31:27
135,1,39.966243,116.395645,0,157.0,39815.1951967593,2009-01-02,04:41:05,2009-01-02 12:41:05
135,2,26.391234,111.62029,0,492.0,39840.1250462963,2009-01-27,03:00:04,2009-01-27 11:00:04
135,2,26.42456,111.612624,0,307.0,39840.2017592593,2009-01-27,04:50:32,2009-01-27 12:50:32
135,3,39.973755,116.398284,0,54.0,39823.0554050926,2009-01-10,01:19:47,2009-01-10 09:19:47
135,3,39.968254,116.399662,0,127.0,39823.1963773148,2009-01-10,04:42:47,2009-01-10 12:42:47
135,4,39.969352,116.398589,0,492.0,39809.3097685185,2008-12-27,07:26:04,2008-12-27 15:26:04
135,4,39.968181,116.399425,0,98.0,39809.5197222222,2008-12-27,12:28:24,2008-12-27 20:28:24
135,5,39.937213,116.331763,0,492.0,39814.1145601852,2009-01-01,02:44:58,2009-01-01 10:44:58
135,5,39.968095,116.399603,0,241.0,39814.3513657407,2009-01-01,08:25:58,2009-01-01 16:25:58
135,6,39.977378,116.32745,0,77.0,39827.5124652778,2009-01-14,12:17:57,2009-01-14 20:17:57
135,6,39.985838,116.418326,0,164.0,39827.5214467593,2009-01-14,12:30:53,2009-01-14 20:30:53
135,7,39.970376,116.399556,0,492.0,39825.0703935185,2009-01-12,01:41:22,2009-01-12 09:41:22
135,7,39.975099,116.331651,0,408.0,39825.0930671296,2009-01-12,02:14:01,2009-01-12 10:14:01
135,8,39.894227,116.314732,0,492.0,39837.2854513889,2009-01-24,06:51:03,2009-01-24 14:51:03
135,8,26.389065,111.620466,0,303.0,39838.2509259259,2009-01-25,06:01:20,2009-01-25 14:01:20
135,9,26.389013,111.620775,0,330.0,39839.1017708333,2009-01-26,02:26:33,2009-01-26 10:26:33
135,9,26.389103,111.620315,0,306.0,39839.6629166667,2009-01-26,15:54:36,2009-01-26 23:54:36
135,10,39.9154783,116.40503,0,232.9,39806.6125810185,2008-12-24,14:42:07,2008-12-24 22:42:07
135,10,39.96824,116.3991349,0,131.2,39806.6435763889,2008-12-24,15:26:45,2008-12-24 23:26:45
135,11,39.969368,116.39859,0,492.0,39810.441724537,2008-12-28,10:36:05,2008-12-28 18:36:05
135,11,39.96903,116.398858,0,187.0,39810.5135648148,2008-12-28,12:19:32,2008-12-28 20:19:32
135,12,39.975345,116.334017,0,492.0,39822.5437962963,2009-01-09,13:03:04,2009-01-09 21:03:04
135,12,39.968301,116.399624,0,105.0,39822.7498958333,2009-01-09,17:59:51,2009-01-10 01:59:51
132,0,30.174892,121.238187,0,0.0,40224.4559606481,2010-02-15,10:56:35,2010-02-15 18:56:35
132,0,30.174869,121.223949,0,0.0,40224.5156597222,2010-02-15,12:22:33,2010-02-15 20:22:33
132,1,29.885928,121.56748,0,0.0,40226.4534490741,2010-02-17,10:52:58,2010-02-17 18:52:58
132,1,29.897278,121.608794,0,0.0,40226.8945717593,2010-02-17,21:28:11,2010-02-18 05:28:11
132,2,29.820243,121.491766,0,0.0,40298.9847337963,2010-04-30,23:38:01,2010-05-01 07:38:01
132,2,29.897426,121.609446,0,0.0,40299.0246643518,2010-05-01,00:35:31,2010-05-01 08:35:31
132,3,30.180911,121.230561,0,0.0,40222.8934143518,2010-02-13,21:26:31,2010-02-14 05:26:31
132,3,30.180882,121.230629,0,0.0,40222.901412037,2010-02-13,21:38:02,2010-02-14 05:38:02
132,4,29.893576,121.607996,0,0.0,40299.4129050926,2010-05-01,09:54:35,2010-05-01 17:54:35
132,4,30.258944,120.125129,0,0.0,40299.6658680556,2010-05-01,15:58:51,2010-05-01 23:58:51
132,5,29.897281,121.608888,0,0.0,40228.4204398148,2010-02-19,10:05:26,2010-02-19 18:05:26
132,5,29.897306,121.608758,0,0.0,40228.6105671296,2010-02-19,14:39:13,2010-02-19 22:39:13
104,0,39.9307483,116.3061433,0,0.0,39676.3249537037,2008-08-16,07:47:56,2008-08-16 15:47:56
104,0,39.7836066,116.3004133,0,0.0,39676.7173842593,2008-08-16,17:13:02,2008-08-17 01:13:02
104,1,39.9901533,116.2984099,0,0.0,39440.4893171296,2007-12-24,11:44:37,2007-12-24 19:44:37
104,1,40.0768066,116.3366816,0,0.0,39440.9657175926,2007-12-24,23:10:38,2007-12-25 07:10:38
104,2,39.9907399,116.2980683,0,0.0,39699.7652314815,2008-09-08,18:21:56,2008-09-09 02:21:56
104,2,39.9910099,116.2978099,0,0.0,39699.9153587963,2008-09-08,21:58:07,2008-09-09 05:58:07
104,3,39.9311166,116.2983083,0,0.0,39667.4627083333,2008-08-07,11:06:18,2008-08-07 19:06:18
104,3,39.9307566,116.2979716,0,0.0,39667.7821064815,2008-08-07,18:46:14,2008-08-08 02:46:14
104,4,39.9835766,116.3035116,0,0.0,39426.8011342593,2007-12-10,19:13:38,2007-12-11 03:13:38
104,4,39.9910383,116.2972883,0,0.0,39426.9212268519,2007-12-10,22:06:34,2007-12-11 06:06:34
104,5,39.9308433,116.2981116,0,0.0,39722.3344791667,2008-10-01,08:01:39,2008-10-01 16:01:39
104,5,39.9303216,116.2981416,0,0.0,39722.5056712963,2008-10-01,12:08:10,2008-10-01 20:08:10
104,6,39.930325,116.2953533,0,0.0,39460.5515856481,2008-01-13,13:14:17,2008-01-13 21:14:17
104,6,39.9896649,116.2987616,0,0.0,39460.8566898148,2008-01-13,20:33:38,2008-01-14 04:33:38
104,7,39.9910099,116.2983933,0,0.0,39684.6619328704,2008-08-24,15:53:11,2008-08-24 23:53:11
104,7,39.9800499,116.33792,0,0.0,39684.8206712963,2008-08-24,19:41:46,2008-08-25 03:41:46
104,8,39.9309849,116.30189,0,0.0,39724.3239351852,2008-10-03,07:46:28,2008-10-03 15:46:28
104,8,39.9297733,116.2982516,0,0.0,39724.7706134259,2008-10-03,18:29:41,2008-10-04 02:29:41
104,9,39.9075066,116.4093483,0,0.0,39695.7569907407,2008-09-04,18:10:04,2008-09-05 02:10:04
104,9,39.8980166,116.3710266,0,0.0,39695.9848726852,2008-09-04,23:38:13,2008-09-05 07:38:13
104,10,39.9905749,116.2978983,0,0.0,39435.7015625,2007-12-19,16:50:15,2007-12-20 00:50:15
104,10,39.99062,116.2986866,0,0.0,39435.8448032407,2007-12-19,20:16:31,2007-12-20 04:16:31
104,11,39.9309566,116.2982433,0,0.0,39509.3828356481,2008-03-02,09:11:17,2008-03-02 17:11:17
104,11,39.9845866,116.34592,0,0.0,39509.4134606481,2008-03-02,09:55:23,2008-03-02 17:55:23
104,12,39.992065,116.2984116,0,0.0,39428.5549768518,2007-12-12,13:19:10,2007-12-12 21:19:10
104,12,39.9906966,116.2973466,0,0.0,39428.7621527778,2007-12-12,18:17:30,2007-12-13 02:17:30
104,13,39.989765,116.3035583,0,0.0,39721.5424652778,2008-09-30,13:01:09,2008-09-30 21:01:09
104,13,39.9397683,116.34602,0,0.0,39721.720474537,2008-09-30,17:17:29,2008-10-01 01:17:29
104,14,39.9904983,116.2981399,0,0.0,39445.9077199074,2007-12-29,21:47:07,2007-12-30 05:47:07
104,14,40.0122199,116.258925,0,0.0,39446.0154398148,2007-12-30,00:22:14,2007-12-30 08:22:14
104,15,39.945455,116.2672733,0,0.0,39420.6692013889,2007-12-04,16:03:39,2007-12-05 00:03:39
104,15,39.9905583,116.298255,0,0.0,39420.6797569444,2007-12-04,16:18:51,2007-12-05 00:18:51
104,16,39.9827649,116.3876333,0,0.0,39683.8569560185,2008-08-23,20:34:01,2008-08-24 04:34:01
104,16,39.9910499,116.2972983,0,0.0,39683.9070023148,2008-08-23,21:46:05,2008-08-24 05:46:05
104,17,39.9897116,116.2996949,0,0.0,39419.6303125,2007-12-03,15:07:39,2007-12-03 23:07:39
104,17,39.99062,116.297995,0,0.0,39419.6337384259,2007-12-03,15:12:35,2007-12-03 23:12:35
104,18,39.9900283,116.2974166,0,0.0,39640.7901967593,2008-07-11,18:57:53,2008-07-12 02:57:53
104,18,39.89366,116.3141366,0,0.0,39640.8917708333,2008-07-11,21:24:09,2008-07-12 05:24:09
104,19,39.9284083,116.3193616,0,0.0,39732.3577777778,2008-10-11,08:35:12,2008-10-11 16:35:12
104,19,40.0732283,116.4033449,0,0.0,39732.6419791667,2008-10-11,15:24:27,2008-10-11 23:24:27
104,20,39.9905749,116.2980766,0,0.0,39720.7449189815,2008-09-29,17:52:41,2008-09-30 01:52:41
104,20,39.9906783,116.2982116,0,0.0,39720.7632060185,2008-09-29,18:19:01,2008-09-30 02:19:01
104,21,39.98954,116.2984583,0,0.0,39688.7849537037,2008-08-28,18:50:20,2008-08-29 02:50:20
104,21,39.9754933,116.2559116,0,0.0,39688.9137152778,2008-08-28,21:55:45,2008-08-29 05:55:45
104,22,39.9308299,116.2983049,0,0.0,39418.8460185185,2007-12-02,20:18:16,2007-12-03 04:18:16
104,22,39.9993899,116.4877883,0,0.0,39418.8929398148,2007-12-02,21:25:50,2007-12-03 05:25:50
104,23,39.9938633,116.2981049,0,0.0,39535.3327893519,2008-03-28,07:59:13,2008-03-28 15:59:13
104,23,39.9273316,116.29747,0,0.0,39535.7419212963,2008-03-28,17:48:22,2008-03-29 01:48:22
104,24,39.9905916,116.2980249,0,0.0,39726.4678009259,2008-10-05,11:13:38,2008-10-05 19:13:38
104,24,39.9911066,116.297245,0,0.0,39726.7817476852,2008-10-05,18:45:43,2008-10-06 02:45:43
104,25,39.9762416,116.32984,0,0.0,39416.6075347222,2007-11-30,14:34:51,2007-11-30 22:34:51
104,25,39.9301449,116.2981,0,0.0,39416.8903240741,2007-11-30,21:22:04,2007-12-01 05:22:04
104,26,39.9898599,116.3022733,0,0.0,39687.5156944444,2008-08-27,12:22:36,2008-08-27 20:22:36
104,26,39.9307233,116.2980249,0,0.0,39687.9245138889,2008-08-27,22:11:18,2008-08-28 06:11:18
104,27,39.9313183,116.3047749,0,0.0,39688.432025463,2008-08-28,10:22:07,2008-08-28 18:22:07
104,27,39.9910749,116.2982133,0,0.0,39688.4696296296,2008-08-28,11:16:16,2008-08-28 19:16:16
104,28,39.9906266,116.2983699,0,0.0,39703.3234490741,2008-09-12,07:45:46,2008-09-12 15:45:46
104,28,40.1556566,116.24446,0,0.0,39703.634849537,2008-09-12,15:14:11,2008-09-12 23:14:11
104,29,39.9905133,116.2986299,0,0.0,39691.7901157407,2008-08-31,18:57:46,2008-09-01 02:57:46
104,29,39.9906999,116.2984599,0,0.0,39691.9089583333,2008-08-31,21:48:54,2008-09-01 05:48:54
104,30,39.9851766,116.3238116,0,0.0,39448.3967013889,2008-01-01,09:31:15,2008-01-01 17:31:15
104,30,39.9905583,116.2983266,0,0.0,39448.761099537,2008-01-01,18:15:59,2008-01-02 02:15:59
104,31,39.9302566,116.2981249,0,0.0,39723.3162847222,2008-10-02,07:35:27,2008-10-02 15:35:27
104,31,39.927435,116.2972816,0,0.0,39723.7731018519,2008-10-02,18:33:16,2008-10-03 02:33:16
104,32,39.9906149,116.2982766,0,0.0,39712.4224652778,2008-09-21,10:08:21,2008-09-21 18:08:21
104,32,39.9910133,116.2976616,0,0.0,39712.6866435185,2008-09-21,16:28:46,2008-09-22 00:28:46
104,33,39.9310333,116.3038199,0,0.0,39698.6809143518,2008-09-07,16:20:31,2008-09-08 00:20:31
104,33,39.990885,116.2978699,0,0.0,39698.7099074074,2008-09-07,17:02:16,2008-09-08 01:02:16
104,34,39.9828266,116.3102983,0,0.0,39531.624375,2008-03-24,14:59:06,2008-03-24 22:59:06
104,34,39.991015,116.2980283,0,0.0,39531.633275463,2008-03-24,15:11:55,2008-03-24 23:11:55
104,35,39.9839149,116.304385,0,0.0,39525.3218055556,2008-03-18,07:43:24,2008-03-18 15:43:24
104,35,39.985155,116.3436199,0,0.0,39525.3399884259,2008-03-18,08:09:35,2008-03-18 16:09:35
104,36,39.9307083,116.3034133,0,0.0,39565.6509953704,2008-04-27,15:37:26,2008-04-27 23:37:26
104,36,39.9910166,116.2975983,0,0.0,39565.8859606481,2008-04-27,21:15:47,2008-04-28 05:15:47
104,37,39.9373633,116.3190866,0,0.0,39673.4004398148,2008-08-13,09:36:38,2008-08-13 17:36:38
104,37,39.9305249,116.2982066,0,0.0,39673.5194560185,2008-08-13,12:28:01,2008-08-13 20:28:01
104,38,39.9871116,116.3029683,0,0.0,39434.5459606481,2007-12-18,13:06:11,2007-12-18 21:06:11
104,38,40.0655766,115.9871383,0,0.0,39434.9987962963,2007-12-18,23:58:16,2007-12-19 07:58:16
104,39,39.9896866,116.2985283,0,0.0,39714.4139467593,2008-09-23,09:56:05,2008-09-23 17:56:05
104,39,39.9897749,116.2989216,0,0.0,39714.512037037,2008-09-23,12:17:20,2008-09-23 20:17:20
104,40,39.99366,116.2982066,0,0.0,39576.7636805556,2008-05-08,18:19:42,2008-05-09 02:19:42
104,40,39.9909349,116.2976483,0,0.0,39576.8946527778,2008-05-08,21:28:18,2008-05-09 05:28:18
104,41,39.9938666,116.2982699,0,0.0,39458.6713657407,2008-01-11,16:06:46,2008-01-12 00:06:46
104,41,39.9360016,116.3036633,0,0.0,39458.7039583333,2008-01-11,16:53:42,2008-01-12 00:53:42
